"HolderAddress","Balance","PendingBalanceUpdate"
"0xd2eda519196fb6baa1aa602820130ef3093f9c23","2,425,133.690751521563948892","No"
"0x2e46c9cefcb8255c3e53a8cd5ee829c577d41668","1,667,802.026793292392666451","No"
"0x6e799758cee75dae3d84e09d40dc416ecf713652","1,460,174.788765436733956242","No"
"0x46a83dc1a264bff133db887023d2884167094837","1,047,087.180717148950318153","No"
"0x9cb4f2da14f6d816e1f111f3f3183aa41c4849f7","1,044,777.368439002527371437","No"
"0x9edcb464c0afdd01a5ffbd09309b437c7dadeab3","740,985.572528243805325116","No"
"0xaa4cf724a400f6fc7e25e177fc6ef68857712285","690,358.221212835858179852","No"
"0x59b0bba5163299a9dd08c155330e1e58567a21c0","643,040.453840147390842865","No"
"0xf158832d542e94015a5b00252af368fff906b47b","637,692.044358073813124818","No"
"0xd30b0f115a708b735a4b0cc9fd3369eb1f88c0c7","576,939.591340260990579692","No"
"0xdfc4083fb28d0f002e78b7df0677bc8a337775d3","566,148.373985012851050249","No"
"0x3e9dcbe355af8893aed161d0fb6ec4f9f553a6dc","500,211.388702797972417887","No"
"0x5dd596c901987a2b28c38a9c1dfbf86fffc15d77","474,793.972229503586084521","No"
"0x5a40ab806a038afe9c4ef413d36b6356a5e4d2c5","426,611.609025514643224333","No"
"0xd8e609dca1e6b9f2ff3b6bbb34f3d3bf76b8d535","403,915.63200231176469843","No"
"0xa0c2f1f179da5ed52d5214a5b038c5c3cde480d6","374,745.030994877502305077","No"
"0x675d89946a63bd80849f03398e5ab59d1eb63273","347,934.363918443711093077","No"
"0x651649cb574928e6f36801a198144a46306b0da9","325,126.630106807850634619","No"
"0x86a6086bacc4290d2a6f978d13f4eb5f60180780","315,826.891258608879677155","No"
"0x31aa50e86f5275487c6a48782d66cf063ea0a58f","312,751.344634815228423314","No"
"0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e","293,807.010599830869231939","No"
"0x59779a92636a002bdf89fc0b378382b6c14be012","285,153.825210978360043143","No"
"0xf6853c77a2452576eae5af424975a101ffc47308","268,336.498175127791291611","No"
"0x2620b733906e5912ea08c369ae42357da0213842","254,424.97285917444301216","No"
"0xc9e769b2d581c4cac8ee5478fd1620c74b79f766","250,432.681978966806332602","No"
"0x4ef861298b42ce7d505c799eced534c5f86779ad","236,074.986890852393485002","No"
"0x4a5d1524a2dc7b2b832dc3b37e1dae3da1e975ab","202,752.709411251467466196","No"
"0xb3b45cbc7b4650035a15c4e858bf7c21667a4741","201,651.18247894010932016","No"
"0x4e017a192177abdae99250b6a0809dd76c856767","198,418.53421997976833708","No"
"0x29e55ce2e13dfa4e1982ce43e8f4991f5b450c80","176,010.87693329485149596","No"
"0x64ad8dff67b7127a542c9df8bc7028b41a741ca4","164,722.053343504826745186","No"
"0xba146536cc1585b2e192358263197ac1dfb87639","158,671.242173272485451492","No"
"0x77e3dae164c3145452b81f5affb2e8c6f0a226c9","151,136.545464699549328306","No"
"0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50","150,996.063681770782588053","No"
"0xaf22f9c9eb58a26a70964c44f37a5042d39d344b","149,123.542800481220906817","No"
"0x4ecc08b02ade9c1b4652669b481fd7a4fadd2582","148,866.962312393020240905","No"
"0xd1c75fbac43af3458e9cb5164a6e79dec5327b46","148,732.535988693337553779","No"
"0xf0c09d91aa30e491e1a3a20c6fd35838257e2648","136,233.96093","No"
"0x6fec1427c201917a80835a1aa0b587f6cac81a09","133,988.559477474706311774","No"
"0x71f12a5b0e60d2ff8a87fd34e7dcff3c10c914b0","124,446.80359205552636877","No"
"0xccfa52dc1d1720c8dbf689baac6cfcf12b239e33","124,014.758572884098910449","No"
"0xf791da446d04282f921f38fbf954ad5caee899a3","114,474.943273454033548591","No"
"0x3cdfd2e8bc356054646cb2c91046c98be1a8ed61","114,110.47347074498179135","No"
"0xa7f7db0eb0368d386d8d0ceb46a8fb207178fec1","107,893.240908588423344309","No"
"0xdcc750a945e0d60c996c632a7361b6d90e6e4b69","103,111.27824556773888704","No"
"0x1fda682c885ffa41355cb957644ea1bddeda2206","100,335.273333570230732306","No"
"0x9eea149c8f76d1d008d606b9495040db014a8181","99,299.763615258571595901","No"
"0xb04d15263f8f4c41ef7d33685753431de057eae2","98,304.792909458234717729","No"
"0x2d876806411a36407350a626bf42d62c82b7d005","97,630.310224283502354744","No"
"0x3a0c26dbc6cdbc89812db478ca6ad5376f2205b0","93,695.121688497315593048","No"
"0xe0019d15f39ec9e8007acd7ca0776dd90eb3d333","92,013.471765050638489916","No"
"0x5aa5d1ce3c082b16f700d47576fe5ea1ac4045cf","86,133.131423996603659491","No"
"0x9f5237babaef17324d4fc577a35dc0c40d4e2164","85,249.035997617313358741","No"
"0xcd81917ff5313d02d7da3d47a9afcd3f635c36e3","77,209.202657010371639784","No"
"0x0881a4cf19c453b87893673d665bef3a20ea1314","77,064.549163438993431824","No"
"0x4609a511d565d38c6b7e5daff8a3b27b10752bd5","74,166.058637311618685481","No"
"0xdb0b86f3e97d22ce1c67f683f700cd0e478dc835","69,735.433308954379300893","No"
"0x16b35d2a83d90cf8de9d36911582b13c86772264","69,251.322185690117038696","No"
"0x634afae222af1100ea228746ae23225ff5c15af3","68,219.716548375178628666","No"
"0x1c453f4ee6d18b8d6e19879a13463e57301dae6a","66,792.053508376442398937","No"
"0xfd3d3d9f0176ecbb02ee67977cfa002c3c72db81","64,484.935926379085694983","No"
"0xbe540a7daf95accb7f4dffc3f72d215876f40010","64,338.774181323129784379","No"
"0x992cbf662121648b4375532b837a6df1c699e29b","63,069.541516652473889733","No"
"0xc7fdc072e1a7ab725ccd0293e826c0143c7919b1","61,764.929755244360253769","No"
"0x9f127b66b1620d97de98746c27e245612e40285c","61,669.494639527366040664","No"
"0x063bfaefcee849547eb2a344275f62537f56eec7","59,823.093005001470080502","No"
"0xa501677470278d37d21e304010b0efbe1e3b9355","59,198.883234020050793176","No"
"0x499ad7d5b5cda2467a849a334057df7f21dcadda","58,402.017659512775450393","No"
"0x6595a41a2ebe230522076c544fb2de11a6666226","57,889.520156419251022061","No"
"0x0a200f2ff5e0ef31a7ed91906a78c6f361023b24","57,554.791893699759483275","No"
"0x343dff3a1692a674f5dd6a5515d2d2184d20efae","56,333.146566423177117111","No"
"0x919a01249bd531bfc4aca08591114360ab8db581","55,452.176010467582437993","No"
"0x542a69605549ba9bbad5cd41d13439ec7bd8d2bf","55,070.210220616736852518","No"
"0xecf48d0cc25ac3bc17beba5f773b896da1ff0783","54,697.558415949571297902","No"
"0xabbf5a9cc22d1f893646ebe3a52cf179156c3488","54,093.767253195281731409","No"
"0x9bef6bf8e6b1ed4f8b6f2db3c1d86df19eebd454","52,589.66647620199301335","No"
"0xb166dd9d114c59774a13c3291e7d50ec74f23dfd","52,204.249844040261674724","No"
"0xf9609e000b84e0e71f0e3d767e5b33426eb21729","51,679.218635587810491831","No"
"0xffae19561c038747c5c9f79f7777c29f28c4b4ad","51,084.81295932079595673","No"
"0x61f26b4ff79f767c7de86297b3ac912a6109e6e9","50,892.959941256914538361","No"
"0xecce519614f844b653dd2b2d0fc9a0eefc80327c","50,746.477812460637287837","No"
"0xad6452a9b8f10b0fe084c83c396abae96411c761","50,543.703478630943053956","No"
"0xccf7872841ba2309ffa42eb0d4b55dcdcf32908a","50,430.828869555032336735","No"
"0x79227a39c1133725be3e08e5f9317ff0cfe536f5","50,383.420738286680399177","No"
"0xc1b03bc15bd3e55fa8cc584e53003d43cb5b215c","50,375.985151417576452284","No"
"0x49e5665ad832e42ca9c09cd27e54ca6a703eca4c","50,349.869940592445507966","No"
"0xf9d764fc6a64181669d4b883fb8686479d2a6cfc","50,261.576543228508041169","No"
"0x862a2e7b13e339f66e32b431e4109e3d7b6961f6","50,196.561550351463451569","No"
"0x0952f50379f4c1c4ff94366a1486d1b91482aa0d","50,143.602154270841518906","No"
"0x62013d36c75bc014aad9823374a82eca40fe68e9","50,059.334521292714384919","No"
"0x8577b84527ced5d2d9f299dc6027a9e049c17d6c","49,143.374784874201421104","No"
"0xd8fa8dc5adec503acc5e026a98f32ca5c1fa289a","47,475.708488969542347472","No"
"0x40bf6afea1cffdf9c228c2624c9b3ae2c08972a1","46,796.914366702646505493","No"
"0x9633bac0ae8d720e2016d8268a9030a6acadd784","45,170.310573923938656016","No"
"0xc5fbc522b2c1ff8a47c2b7bf947321c808be5e64","41,805.129675877740187231","No"
"0x80f70f6b179cd61d9a9339c9bfd1eef416de2f8a","39,635.789044062790992184","No"
"0xa6829f021f2ac1cf986d01a8856b13e6606ff0e8","37,956.768754382231340147","No"
"0x7dd7f79755e6e4b2383190d096c28cfebc2f8367","36,634.574653332965885997","No"
"0xa81c01cdd9b6c97d42d40f53a6033305438ef295","35,326.582184154027640667","No"
"0x3e3588fc0dcee9cf9d2241d6353db5ccfd3a8e19","34,428.341240322239194688","No"
"0xbddf6d5a82ab011b692ff4aa9d75bf675d1d785d","33,552.359981025656511059","No"
"0x20b347974af0c33da778ad3f2c0fa17655a94cf1","33,309.052724402961241662","No"
"0xdb611d682cb1ad72fcbacd944a8a6e2606a6d158","33,299.488003142399029938","No"
"0x1b7ef850900bbf68f58c494f92c07fc953be709d","33,294.911691117287407102","No"
"0x62d164ec972c048e0c9c4fa26e6c3b9984982d25","28,631.503928134161023349","No"
"0x51932dc1629b432232c07e60f96b1c6bda70fc22","27,428.59102858406222359","No"
"0xcd4f38d5f5d71a2daac841f2c68721a96ad09916","26,694.352019341667192386","No"
"0xf0d40378cccf031b179577f14f6febb494d2264d","25,659.497543107590190558","No"
"0xa803c226c8281550454523191375695928dcfe92","25,420.363401246039826045","No"
"0x4e5a7256788ce03f0115a162d096d25fc6c5d2c6","25,264.526328341526179513","No"
"0x3f3b5316be08ea5d449267c197d0c8b212c4bcfb","25,130.588746206979175255","No"
"0x920f9fb367c457819ab678af65a854995d74a0af","25,119.639886236786652786","No"
"0x264f77c7b6491469e6a8bc68a2ad4aaed2a5a61c","25,112.177958641445786139","No"
"0x2424618d727e17a38cad7d531dfc90540dcdb566","24,800.402435764938494824","No"
"0x6667ed7112b558e1bc81ed66f972353b679d60ac","24,053.593489312628917756","No"
"0x781f939973ee299a187529fd0b7fee5f9fa9bc67","23,641.172882657187039979","No"
"0xf275de16c1019002e81bb5096b267b818b97149b","22,773.575047332747825099","No"
"0x813f37c3c4592d1aaa91d9d41751431f5e2b3ccf","20,385.035454723492413959","No"
"0xa000288f59cd0888d1f46cfb320dcf4fdb6d7ad0","20,359.919515760715889611","No"
"0x79b94c17d8178689df8d10754d7e4a1bb3d49bc1","20,178.803830029724490307","No"
"0x3754bac7ff1f26877237d156e17e3c425015253c","20,108.292909442731299387","No"
"0xb8d435016ccc236c1d36bf9b5661e8ffbb174241","19,839.955591638389205762","No"
"0x5af52b96375bbb9dbc9d6f5c40a4c76d07e81ace","19,761.642824173240601459","No"
"0xb2f3b8dd1e02cb20791c3abde07a8adfff928461","18,522.583699696105007094","No"
"0x000f3dc066fa6c8ff69a931bcea25d11a21df3d3","17,549.227644336513192319","No"
"0x273ebff3bda08d0699c3bbdd701dcc986d7e5f76","17,317.243607398047010904","No"
"0xd16aea911a06f2faa7b7ec616f0b97edf8a1a579","17,195.975616502083765072","No"
"0xe27f08a01a3b1380866919ff768dfcf8cd7f3488","17,062.856272199686307265","No"
"0x5d5b11c84b6c14f464c5a005b5c33d6407eac3f0","15,967.25467665929034016","No"
"0x7bb60a26ed799362a6f2c811e2f8cce40b1ee606","15,894.760611848699330493","No"
"0x91b7f6b94554cf9e1dc041d9a15f5bec30b71166","15,702.764061571583565847","No"
"0x5d62f5d072e32bed926b443c7604b35ae0702bcb","15,592.147353941415837844","No"
"0xf0dfb4e59a9e6bd52df1435194849bd1a64889ed","15,509.958910300342529296","No"
"0x0ce3958a14fea8932d20dcb25006d3d488018c30","15,385.722094842019599761","No"
"0xd00ab1d74a00c12a6728685ec8ce85c6a2d04ac3","15,071.639232826855910232","No"
"0xbaa754c0b456ad6fb80e642fdbe78c74a512909f","15,043.417077877990095485","No"
"0xd962a9cf49710197ff8b02cec45ad80ba80c05c4","15,034.112646811269038497","No"
"0x0d4ec8e1d2b93adc7e5d00d71424841fb515fe6e","15,029.899787230978911472","No"
"0xfe2f468654e157566f52feb8e556a8dcc36b8c2e","14,909.333814149529944938","No"
"0xf22d922de83781dabd59106b7b370c6466f56c68","14,887.084368860463234093","No"
"0x39424a9c27d44c5d2207c1a9ade27d42fb114e1f","14,858.918692744051708315","No"
"0x8f55b0b07a1358bf39598e06a40e0b91b355095d","14,539.455521459312204509","No"
"0xcac7144ee898a2fd27f22131684a9b76e88386dd","13,401.843152767913862116","No"
"0x20b57f9bd4c4b6544790e6e7bc1e6358b46c502f","13,105.476115778006651175","No"
"0x84411e36f57516f3b359d9afbcada418f07bbccc","12,819.327412601584276487","No"
"0x41e72d30c967a595cc2c7dbc9e1ed98638f3b8c8","12,611.155850251057432843","No"
"0x48ab9113730c686e43144a2367f024d787959f2f","12,406.874451788139420484","No"
"0xb053d6372ed1bcf1ef4775e9c24ad9a2bb4af151","12,336.431220061906153424","No"
"0xd759ad90a32058eff0851a2163bda37403a55d8b","11,963.062230791717560272","No"
"0x126943d46f29bf64b0ea3e2206876715ca694e2e","11,556.451813289512596696","No"
"0xae4eef02e0ee91061115fdf580d725d1544a2922","11,289.629407163655062778","No"
"0xb18e3c41faf4139b89b4ebf1f5ef645a3ad0ec7f","10,884.941525727438922299","No"
"0xd333886b6732966ab73c27e4c4af001e39a5a4e3","10,726.199276247204703954","No"
"0xc8ae2f28403b91d1688ff616ff8d2ebaac17f6d2","10,656.961797157526407146","No"
"0xaf8306a31a56acd0911b256fa37d0f6b48e76930","10,455.711202134505874044","No"
"0xc99d1e8e91f5be830fc20739ff5fcae08f2c32c4","10,434.046948560452210203","No"
"0xe22eb905a0113d1c633e28794161afdaa7041ec1","10,185.169081272825398698","No"
"0xcf01ceaf894a27025b241dd58cf4366b14a1f9f8","10,088.738683658941886078","No"
"0x7d3f5d9e616cff162fd78ec1cd4cab454340c26e","10,085.754267964358795894","No"
"0x060253f772bb050ad5439e5c980356df02cf0725","10,080.333204962265867787","No"
"0xc59cd892ec5bee65950f4bf8198fd3ecd86dbc85","10,017.742702804815488165","No"
"0x31efa12b8cad7eff512951d1ef43f821e788dfd8","9,901.337328319409818444","No"
"0x98ade35d56af10445b40b21bbbe61c4dd3c1bda8","9,829.511116301924966728","No"
"0xb8a4eae88a3ad58de06ee3c8ede951369106a84f","9,805.354800993008479822","No"
"0x53cab28c29903cbd1e118b1e6defd9563dbced94","9,801.840264214109640142","No"
"0x6bb22e104a7d475edbdf01d5783f91e7758afaf1","9,765.468745270500800521","No"
"0xcaf7ca959fd2b2fabdf6cd72fa929be3ca3b39f5","9,709.821697899064778468","No"
"0x622c05cb59c48de95b278e27e38ba74411454450","9,649.072269132355930352","No"
"0x79e6ea6c15a9e3931629366cc98f2901dd53a886","9,478.884834784180078385","No"
"0xac09408c36628433a0c4424299ec38085223b8a9","9,455.031995086267924103","No"
"0xe279bdddf37ed89f59c3ab7626950045febc5012","9,223.825899556439314947","No"
"0x9464d0bf7aa108e2918b60cce2d82bebde309252","9,115.319056310338724794","No"
"0x17c8c1d50a6067cfce47a6ac6e0372f0af6ff166","9,114.24303176600394894","No"
"0x737ea32b0458103019a2a95a55bac57cbc834d44","8,987.395252049363371833","No"
"0x3dd81863779991d88d7f186d41b8bea1a569553d","8,949.676464909263429778","No"
