"HolderAddress","Balance","PendingBalanceUpdate"
"0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05","12,898,561.808591235860652115","No"
"0x5555551fc55b8800db43b69a3c4f468d413578dd","9,975,598.063712628772896523","No"
"0x6e799758cee75dae3d84e09d40dc416ecf713652","2,471,088.446190017556359636","No"
"0xb00543daaff24b5e81a502a79a888ade2b085d5d","2,293,259.559281261678543992","No"
"0xaa4cf724a400f6fc7e25e177fc6ef68857712285","2,222,430.329776933818869431","No"
"0xc253b19091852b0a05728241946fd3e80f089664","1,513,806.976064655513700688","No"
"0x2639db27d59d2a1b4e4663f45e489ed9bd2e5e10","1,466,876.614014747623366244","No"
"0x111069efb5241d44f527f2f28eba5d26d7a2f8f0","1,390,899.080892486494072745","No"
"0x9bef6bf8e6b1ed4f8b6f2db3c1d86df19eebd454","1,321,937.284637613957202557","No"
"0x9edcb464c0afdd01a5ffbd09309b437c7dadeab3","1,241,683.986827995397970849","No"
"0x7612d3ef4edd72fa98086e45430047788e52b9f2","1,139,562.377860531347577305","No"
"0x1f89253802aeae9ec508350ceba63e5d43fe99a3","1,094,363.077449269870757476","No"
"0x64627901dadb46ed7f275fd4fc87d086cff1e6e3","1,081,971.120266815473756166","No"
"0x9844c3688daaa98de18fbe52499a6b152236896b","1,018,078.752460173317446484","No"
"0x57655b342b7bf1a1134b572e43eb62bbe56bf7cf","974,050.308258073822756105","No"
"0x78bccd5d99c37c74e5b820a3a1627aaee7871567","781,199.818778322367800155","No"
"0xf0043b2669e4b9b80e0f3ad10b8d1d682ebda71b","758,771.603513969815861803","No"
"0x5602605a0a3c9ca48f48057e31f328f40e2adcb8","747,040.602830545113902088","No"
"0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50","713,692.77271608345583447","No"
"0x3ccc596a2be298ff9e94bc583bc1de6429cd0f0a","536,442.975304680345290258","No"
"0x5a40ab806a038afe9c4ef413d36b6356a5e4d2c5","507,343.01703429380304778","No"
"0xc8810fde8e6f0911d8b180e03c367b2a2838bad6","505,255.562140699472729322","No"
"0xf6335f7ed06f99d5596c153f9242ee4b8e09ef59","502,990.916260589397251429","No"
